192.168.0.1 - guest [22/Mar/2021:07:00:37 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 502 157 "http://localhost:5000/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
192.168.206.1 - guest [22/Mar/2021:07:00:41 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 502 559 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET / HTTP/1.1" 200 2884 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/ejs-1.0.min.js HTTP/1.1" 200 12881 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/jquery.flot-0.8.1.min.js HTTP/1.1" 200 36649 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /css/main.css HTTP/1.1" 200 16046 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/jquery-3.5.1.min.js HTTP/1.1" 200 89476 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/jquery.flot-0.8.1.time.min.js HTTP/1.1" 200 4889 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/sammy-0.7.6.min.js HTTP/1.1" 200 27206 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/global.js HTTP/1.1" 200 40192 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/json2-2016.10.28.js HTTP/1.1" 200 18434 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
